"journal_id","account_id","group_id","amount","type","createdAt","updatedAt"
323,222,167,299.9955,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
323,193,178,285.71,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
323,187,169,7.1427499999999995,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
323,186,169,7.1427499999999995,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
328,262,167,5030.399,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
328,193,178,4263.05,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
328,186,169,383.6745,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
328,187,169,383.6745,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
330,243,167,1921.2816,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
330,193,178,1715.43,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
330,186,169,102.9258,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
330,187,169,102.9258,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
332,200,167,299.9955,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
332,193,178,285.71,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
332,187,169,7.1427499999999995,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
332,186,169,7.1427499999999995,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
334,202,167,409.5,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
334,193,178,390,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
334,187,169,9.75,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
334,186,169,9.75,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
710,225,167,4363.168,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
710,193,178,3697.6,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
710,186,169,332.784,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
710,187,169,332.784,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
24,203,167,1212.0045,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
24,193,178,1154.29,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
24,187,169,28.85725,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
24,186,169,28.85725,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
25,204,167,700.0034999999999,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
25,193,178,666.67,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
25,187,169,16.66675,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
25,186,169,16.66675,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
26,204,167,2447.9952000000003,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
26,193,178,2185.71,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
26,186,169,131.14260000000002,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
26,187,169,131.14260000000002,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
27,205,167,2900.9709999999995,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
27,193,178,2458.45,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
27,186,169,221.26049999999998,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
27,187,169,221.26049999999998,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
28,206,167,4080.2394,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
28,193,178,3457.83,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
28,186,169,311.2047,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
28,187,169,311.2047,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
29,207,167,3540.118,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
29,193,178,3000.1,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
29,186,169,270.00899999999996,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
29,187,169,270.00899999999996,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
30,208,167,3367.8615999999997,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
30,193,178,2854.12,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
30,186,169,256.8708,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
30,187,169,256.8708,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
31,209,167,6885.2056,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
31,193,178,5834.92,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
31,186,169,525.1428,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
31,187,169,525.1428,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
32,210,167,1514.3968,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
32,193,178,1352.14,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
32,186,169,81.1284,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
32,187,169,81.1284,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
33,210,167,2585.6278,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
33,193,178,2191.21,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
33,186,169,197.2089,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
33,187,169,197.2089,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
34,211,167,2324.0218,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
34,193,178,1969.51,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
34,186,169,177.2559,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
34,187,169,177.2559,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
35,212,167,9426.5834,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
35,193,178,7988.63,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
35,186,169,718.9766999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
35,187,169,718.9766999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
36,199,167,8622.6612,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
36,193,178,7307.34,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
36,186,169,657.6605999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
36,187,169,657.6605999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
37,213,167,630,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
37,193,178,600,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
37,187,169,15,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
37,186,169,15,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
38,204,167,439.19599999999997,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
38,193,178,372.2,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
38,186,169,33.498,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
38,187,169,33.498,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
39,214,167,1228.8638,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
39,193,178,1041.41,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
39,186,169,93.7269,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
39,187,169,93.7269,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
40,221,167,960.4846,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
40,193,178,813.97,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
40,186,169,73.2573,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
40,187,169,73.2573,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
42,217,167,3214.7248,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
42,193,178,2870.29,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
42,186,169,172.21739999999997,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
42,187,169,172.21739999999997,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
43,218,167,208.1968,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
43,193,178,185.89,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
43,186,169,11.1534,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
43,187,169,11.1534,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
44,218,167,595.8056,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
44,193,178,504.92,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
44,186,169,45.4428,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
44,187,169,45.4428,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
45,216,167,3013.2008,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
45,193,178,2553.56,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
45,186,169,229.8204,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
45,187,169,229.8204,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
46,211,167,819.0026,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
46,193,178,694.07,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
46,186,169,62.466300000000004,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
46,187,169,62.466300000000004,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
47,220,167,1214.472,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
47,193,178,1084.35,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
47,186,169,65.06099999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
47,187,169,65.06099999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
48,220,167,844.998,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
48,193,178,716.1,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
48,186,169,64.44900000000001,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
48,187,169,64.44900000000001,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
49,221,167,1250.9062,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
49,193,178,1060.09,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
49,186,169,95.40809999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
49,187,169,95.40809999999999,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
50,222,167,185.99699999999999,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
50,193,178,177.14,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
50,187,169,4.4285,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
50,186,169,4.4285,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
51,222,167,739.144,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
51,193,178,659.95,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
51,186,169,39.597,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
51,187,169,39.597,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
52,222,167,960.4846,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
52,193,178,813.97,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
52,186,169,73.2573,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
52,187,169,73.2573,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
53,223,167,924.3766,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
53,193,178,783.37,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
53,186,169,70.5033,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
53,187,169,70.5033,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
55,224,167,1624.7056000000002,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
55,193,178,1450.63,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
55,186,169,87.0378,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
55,187,169,87.0378,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
56,224,167,8277.9596,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
56,193,178,7015.22,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
56,186,169,631.3698,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
56,187,169,631.3698,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
57,225,167,2995.2057999999997,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
57,193,178,2538.31,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
57,186,169,228.4479,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
57,187,169,228.4479,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
58,208,167,2279.996,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
58,193,178,1932.2,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
58,186,169,173.898,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
58,187,169,173.898,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
59,202,167,566.3646,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
59,193,178,479.97,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
59,186,169,43.197300000000006,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
59,187,169,43.197300000000006,true,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
60,226,167,1302,false,"2025-03-01T08:50:38.805Z","2025-03-01T08:50:38.805Z"
